Index,Player,PartnerIndex,Mode,Score,Q1,Q2,Q3,Q4
70,0,,0,159,09/06/2018 13:20:11,,,,
71,1,,0,716,09/06/2018 13:20:11,,,,
72,1,,1,19,09/06/2018 13:20:11,,,,
73,0,,1,710,09/06/2018 13:20:11,,,,
74,0,,1,471,09/06/2018 13:20:11,,,,
75,0,,0,384,09/06/2018 13:20:11,,,,
76,1,,0,210,09/06/2018 13:20:11,,,,
77,0,,0,529,09/06/2018 13:20:11,,,,
78,1,,1,633,09/06/2018 13:20:11,,,,
79,1,,1,227,09/06/2018 13:20:11,,,,
80,0,,1,533,09/06/2018 13:20:11,,,,
81,1,,1,328,09/06/2018 13:20:11,,,,
82,1,,1,734,09/06/2018 13:20:11,,,,
83,1,,0,752,09/06/2018 13:20:11,,,,
84,0,,1,353,09/06/2018 13:20:11,,,,
85,1,,1,475,09/06/2018 13:20:11,,,,
86,0,,0,551,09/06/2018 13:20:11,,,,
87,0,,0,369,09/06/2018 13:20:11,,,,
88,0,,1,199,09/06/2018 13:20:11,,,,
89,1,,1,178,09/06/2018 13:20:11,,,,
90,0,,1,532,09/06/2018 13:20:11,,,,
91,0,,0,753,09/06/2018 13:20:11,,,,
92,0,,0,252,09/06/2018 13:20:11,,,,
93,1,,1,669,09/06/2018 13:20:11,,,,
94,0,,1,389,09/06/2018 13:20:11,,,,
95,0,,0,766,09/06/2018 13:20:11,,,,
96,0,,1,440,09/06/2018 13:20:11,,,,
97,0,,0,721,09/06/2018 13:20:11,,,,
98,0,,0,147,09/06/2018 13:20:11,,,,
99,0,,1,186,09/06/2018 13:20:11,,,,
100,0,,1,125,09/06/2018 13:20:11,,,,
101,1,,1,778,09/06/2018 13:20:11,,,,
102,0,,1,249,09/06/2018 13:20:11,,,,
103,1,,0,595,09/06/2018 13:20:11,,,,
104,0,,0,87,09/06/2018 13:20:11,,,,
105,1,,0,85,09/06/2018 13:20:11,,,,
106,0,,0,488,09/06/2018 13:20:11,,,,
107,1,,1,594,09/06/2018 13:20:11,,,,
108,0,,0,309,09/06/2018 13:20:11,,,,
109,1,,1,136,09/06/2018 13:20:11,,,,
110,1,,0,398,09/06/2018 13:20:11,,,,
111,0,,0,210,09/06/2018 13:20:11,,,,
112,1,,1,353,09/06/2018 13:20:11,,,,
113,1,,1,592,09/06/2018 13:20:11,,,,
114,0,,1,676,09/06/2018 13:20:11,,,,
115,1,,1,714,09/06/2018 13:20:11,,,,
116,1,,0,534,09/06/2018 13:20:11,,,,
117,0,,1,235,09/06/2018 13:20:11,,,,
118,0,,0,175,09/06/2018 13:20:11,,,,
119,1,,1,217,09/06/2018 13:20:11,,,,
120,0,,0,432,09/06/2018 13:20:11,,,,
121,0,,1,750,09/06/2018 13:20:11,,,,
122,1,,0,536,09/06/2018 13:20:11,,,,
123,1,,1,311,09/06/2018 13:20:11,,,,
124,0,,1,272,09/06/2018 13:20:11,,,,
125,0,,1,631,09/06/2018 13:20:11,,,,
126,1,,1,643,09/06/2018 13:20:11,,,,
127,0,,0,70,09/06/2018 13:20:11,,,,
128,1,,0,534,09/06/2018 13:20:11,,,,
129,0,,0,491,09/06/2018 13:20:11,,,,
130,1,,1,778,09/06/2018 13:20:11,,,,
131,1,,0,613,09/06/2018 13:20:11,,,,
132,1,,0,699,09/06/2018 13:20:11,,,,
133,0,,0,599,09/06/2018 13:20:11,,,,
134,0,,0,393,09/06/2018 13:20:11,,,,
135,0,,0,388,09/06/2018 13:20:11,,,,
136,1,,1,760,09/06/2018 13:20:11,,,,
137,1,,1,43,09/06/2018 13:20:11,,,,
138,1,,0,139,09/06/2018 13:20:11,,,,
139,1,,1,111,09/06/2018 13:20:11,,,,
140,1,,1,475,09/06/2018 13:20:11,,,,
141,1,,0,427,09/06/2018 13:20:11,,,,
142,1,,1,635,09/06/2018 13:20:11,,,,
143,0,,1,202,09/06/2018 13:20:11,,,,
144,1,,0,503,09/06/2018 13:20:11,,,,
145,1,,0,31,09/06/2018 13:20:11,,,,
146,1,,1,258,09/06/2018 13:20:11,,,,
147,0,,1,794,09/06/2018 13:20:11,,,,
148,1,,0,257,09/06/2018 13:20:11,,,,
149,1,,1,93,09/06/2018 13:20:11,,,,
150,0,,0,496,09/06/2018 13:20:11,,,,
151,0,,0,29,09/06/2018 13:20:11,,,,
152,0,,1,263,09/06/2018 13:20:11,,,,
153,0,,0,709,09/06/2018 13:20:11,,,,
154,1,,0,249,09/06/2018 13:20:11,,,,
155,1,,1,442,09/06/2018 13:20:11,,,,
156,0,,0,101,09/06/2018 13:20:11,,,,
157,0,,0,47,09/06/2018 13:20:11,,,,
158,1,,1,785,09/06/2018 13:20:11,,,,
159,0,,1,202,09/06/2018 13:20:11,,,,
160,1,,1,437,09/06/2018 13:20:11,,,,
161,1,,1,345,09/06/2018 13:20:11,,,,
162,1,,1,639,09/06/2018 13:20:11,,,,
163,1,,1,249,09/06/2018 13:20:11,,,,
164,1,,1,77,09/06/2018 13:20:11,,,,
165,1,,1,151,09/06/2018 13:20:11,,,,
166,0,,1,306,09/06/2018 13:20:11,,,,
167,1,,0,665,09/06/2018 13:20:11,,,,
168,1,,1,343,09/06/2018 13:20:11,,,,
169,1,,1,363,09/06/2018 13:20:11,,,,
170,1,,0,241,09/06/2018 13:20:11,,,,
171,0,,1,473,09/06/2018 13:20:11,,,,
172,0,,1,721,09/06/2018 13:20:11,,,,
173,1,,1,129,09/06/2018 13:20:11,,,,
174,1,,1,95,09/06/2018 13:20:11,,,,
175,1,,0,397,09/06/2018 13:20:11,,,,
176,1,,0,114,09/06/2018 13:20:11,,,,
177,0,,1,658,09/06/2018 13:20:11,,,,
178,1,,1,365,09/06/2018 13:20:11,,,,
179,0,,1,337,09/06/2018 13:20:11,,,,
180,1,,1,710,09/06/2018 13:20:11,,,,
181,0,,1,426,09/06/2018 13:20:11,,,,
182,1,,1,298,09/06/2018 13:20:11,,,,
183,1,,1,199,09/06/2018 13:20:11,,,,
184,1,,1,235,09/06/2018 13:20:11,,,,
185,1,,1,16,09/06/2018 13:20:11,,,,
186,0,,1,726,09/06/2018 13:20:11,,,,
187,0,,0,266,09/06/2018 13:20:11,,,,
188,1,,1,236,09/06/2018 13:20:11,,,,
189,1,,1,351,09/06/2018 13:20:11,,,,
190,1,,0,479,09/06/2018 13:20:11,,,,
191,1,,1,206,09/06/2018 13:20:11,,,,
192,0,,0,161,09/06/2018 13:20:11,,,,
193,1,,1,457,09/06/2018 13:20:11,,,,
194,1,,1,35,09/06/2018 13:20:11,,,,
195,0,,1,797,09/06/2018 13:20:11,,,,
196,0,,1,307,09/06/2018 13:20:11,,,,
197,0,,0,242,09/06/2018 13:20:11,,,,
198,0,,1,467,09/06/2018 13:20:11,,,,
199,0,,1,225,09/06/2018 13:20:11,,,,
200,0,,0,592,09/06/2018 13:20:11,,,,
201,1,,0,193,09/06/2018 13:20:11,,,,
202,0,,1,502,09/06/2018 13:20:11,,,,
203,0,,1,156,09/06/2018 13:20:11,,,,
204,0,,1,130,09/06/2018 13:20:11,,,,
205,1,,1,670,09/06/2018 13:20:11,,,,
206,1,,1,796,09/06/2018 13:20:11,,,,
207,0,,1,794,09/06/2018 13:20:11,,,,
208,1,,1,255,09/06/2018 13:20:11,,,,
209,0,,1,247,09/06/2018 13:20:11,,,,
210,0,,0,279,09/06/2018 13:20:11,,,,
211,0,,0,544,09/06/2018 13:20:11,,,,
212,0,,1,229,09/06/2018 13:20:11,,,,
213,1,,1,708,09/06/2018 13:20:11,,,,
214,1,,0,512,09/06/2018 13:20:11,,,,
215,1,,1,403,09/06/2018 13:20:11,,,,
216,1,,1,402,09/06/2018 13:20:11,,,,
217,1,,0,288,09/06/2018 13:20:11,,,,
218,0,,0,394,09/06/2018 13:20:11,,,,
219,1,,0,139,09/06/2018 13:20:11,,,,
220,0,,0,186,09/06/2018 13:20:11,,,,
221,1,,1,486,09/06/2018 13:20:11,,,,
222,0,,0,633,09/06/2018 13:20:11,,,,
223,0,,1,694,09/06/2018 13:20:11,,,,
224,0,,0,699,09/06/2018 13:20:11,,,,
225,1,,1,203,09/06/2018 13:20:11,,,,
226,0,,1,729,09/06/2018 13:20:11,,,,
227,0,,1,52,09/06/2018 13:20:11,,,,
228,0,,0,17,09/06/2018 13:20:11,,,,
229,0,,0,650,09/06/2018 13:20:11,,,,
230,1,,0,534,09/06/2018 13:20:11,,,,
231,1,,1,696,09/06/2018 13:20:11,,,,
232,0,,1,567,09/06/2018 13:20:11,,,,
233,0,,1,339,09/06/2018 13:20:11,,,,
234,1,,0,667,09/06/2018 13:20:11,,,,
235,0,,1,144,09/06/2018 13:20:11,,,,
236,1,,0,119,09/06/2018 13:20:11,,,,
237,0,,0,544,09/06/2018 13:20:11,,,,
238,0,,1,490,09/06/2018 13:20:11,,,,
239,0,,1,713,09/06/2018 13:20:11,,,,
240,1,,1,622,09/06/2018 13:20:11,,,,
241,1,,1,200,09/06/2018 13:20:11,,,,
242,1,,1,528,09/06/2018 13:20:11,,,,
243,1,,0,252,09/06/2018 13:20:11,,,,
244,0,,0,296,09/06/2018 13:20:11,,,,
245,1,,0,528,09/06/2018 13:20:11,,,,
246,0,,1,203,09/06/2018 13:20:11,,,,
247,1,,0,697,09/06/2018 13:20:11,,,,
248,0,,0,27,09/06/2018 13:20:11,,,,
249,1,,0,781,09/06/2018 13:20:11,,,,
250,1,,0,62,09/06/2018 13:20:11,,,,
251,0,,0,355,09/06/2018 13:20:11,,,,
252,0,,1,578,09/06/2018 13:20:11,,,,
253,1,,1,405,09/06/2018 13:20:11,,,,
254,0,,0,10,09/06/2018 13:20:11,,,,
255,0,,1,630,09/06/2018 13:20:11,,,,
256,1,,0,40,09/06/2018 13:20:11,,,,
257,1,,1,134,09/06/2018 13:20:11,,,,
258,0,,0,253,09/06/2018 13:20:11,,,,
259,1,,0,735,09/06/2018 13:20:11,,,,
260,0,,0,738,09/06/2018 13:20:11,,,,
261,1,,1,518,09/06/2018 13:20:11,,,,
262,1,,1,237,09/06/2018 13:20:11,,,,
263,1,,1,570,09/06/2018 13:20:11,,,,
264,1,,0,273,09/06/2018 13:20:11,,,,
265,1,,1,239,09/06/2018 13:20:11,,,,
266,1,,1,475,09/06/2018 13:20:11,,,,
267,0,,0,418,09/06/2018 13:20:11,,,,
268,0,,1,452,09/06/2018 13:20:11,,,,
269,0,,1,562,09/06/2018 13:20:11,,,,
270,0,,1,345,09/06/2018 13:20:11,,,,
271,1,,0,630,09/06/2018 13:20:11,,,,
272,0,,1,667,09/06/2018 13:20:11,,,,
273,1,,1,48,09/06/2018 13:20:11,,,,
274,1,,1,499,09/06/2018 13:20:11,,,,
275,0,,0,391,09/06/2018 13:20:11,,,,
276,1,,0,555,09/06/2018 13:20:11,,,,
277,1,,1,183,09/06/2018 13:20:11,,,,
278,0,,1,589,09/06/2018 13:20:11,,,,
279,1,,0,121,09/06/2018 13:20:11,,,,
280,0,,1,318,09/06/2018 13:20:11,,,,
281,0,,1,742,09/06/2018 13:20:11,,,,
282,1,,1,557,09/06/2018 13:20:11,,,,
283,1,,1,689,09/06/2018 13:20:11,,,,
284,1,,0,627,09/06/2018 13:20:11,,,,
285,1,,1,327,09/06/2018 13:20:11,,,,
286,0,,1,402,09/06/2018 13:20:11,,,,
287,0,,0,456,09/06/2018 13:20:11,,,,
288,1,,1,309,09/06/2018 13:20:11,,,,
289,1,,0,678,09/06/2018 13:20:11,,,,
290,1,,0,513,09/06/2018 13:20:11,,,,
291,1,,1,219,09/06/2018 13:20:11,,,,
292,1,,1,435,09/06/2018 13:20:11,,,,
293,1,,0,549,09/06/2018 13:20:11,,,,
294,1,,0,254,09/06/2018 13:20:11,,,,
295,1,,0,76,09/06/2018 13:20:11,,,,
296,1,,0,38,09/06/2018 13:20:11,,,,
297,1,,1,499,09/06/2018 13:20:11,,,,
298,0,,1,0,09/06/2018 13:20:11,,,,
299,0,,0,447,09/06/2018 13:20:11,,,,
300,1,,0,763,09/06/2018 13:20:11,,,,
301,0,,1,581,09/06/2018 13:20:11,,,,
302,1,,1,603,09/06/2018 13:20:11,,,,
303,0,,0,685,09/06/2018 13:20:11,,,,
304,0,,0,435,09/06/2018 13:20:11,,,,
305,0,,1,242,09/06/2018 13:20:11,,,,
306,0,,1,648,09/06/2018 13:20:11,,,,
307,1,,1,407,09/06/2018 13:20:11,,,,
308,1,,0,600,09/06/2018 13:20:11,,,,
309,1,,0,104,09/06/2018 13:20:11,,,,
310,1,,0,399,09/06/2018 13:20:11,,,,
311,0,,0,175,09/06/2018 13:20:11,,,,
312,1,,1,740,09/06/2018 13:20:11,,,,
313,1,,1,98,09/06/2018 13:20:11,,,,
314,0,,1,286,09/06/2018 13:20:11,,,,
315,1,,1,680,09/06/2018 13:20:11,,,,
316,0,,0,383,09/06/2018 13:20:11,,,,
317,0,,0,581,09/06/2018 13:20:11,,,,
318,0,,1,727,09/06/2018 13:20:11,,,,
319,1,,0,180,09/06/2018 13:20:11,,,,
320,0,,0,154,09/06/2018 13:20:11,,,,
321,0,,0,588,09/06/2018 13:20:11,,,,
322,0,,1,316,09/06/2018 13:20:11,,,,
323,0,,1,565,09/06/2018 13:20:11,,,,
324,0,,0,387,09/06/2018 13:20:11,,,,
325,1,,0,529,09/06/2018 13:20:11,,,,
326,0,,0,381,09/06/2018 13:20:11,,,,
327,0,,0,395,09/06/2018 13:20:11,,,,
328,1,,1,22,09/06/2018 13:20:11,,,,
329,0,,1,757,09/06/2018 13:20:11,,,,
330,1,,0,559,09/06/2018 13:20:11,,,,
331,1,,1,463,09/06/2018 13:20:11,,,,
332,1,,0,271,09/06/2018 13:20:11,,,,
333,0,,1,257,09/06/2018 13:20:11,,,,
334,1,,1,66,09/06/2018 13:20:11,,,,
335,0,,0,18,09/06/2018 13:20:11,,,,
336,1,,1,121,09/06/2018 13:20:11,,,,
337,1,,1,132,09/06/2018 13:20:11,,,,
338,0,,0,2,09/06/2018 13:20:11,,,,
339,0,,0,315,09/06/2018 13:20:11,,,,
340,1,,1,696,09/06/2018 13:20:11,,,,
341,1,,0,683,09/06/2018 13:20:11,,,,
342,0,,0,748,09/06/2018 13:20:11,,,,
343,1,,1,216,09/06/2018 13:20:11,,,,
344,0,,0,345,09/06/2018 13:20:11,,,,
345,1,,1,759,09/06/2018 13:20:11,,,,
346,1,,1,709,09/06/2018 13:20:11,,,,
347,1,,0,717,09/06/2018 13:20:11,,,,
348,0,,1,557,09/06/2018 13:20:11,,,,
349,0,,0,254,09/06/2018 13:20:11,,,,
350,0,,1,516,09/06/2018 13:20:11,,,,
351,1,,0,448,09/06/2018 13:20:11,,,,
352,1,,0,546,09/06/2018 13:20:11,,,,
353,0,,0,607,09/06/2018 13:20:11,,,,
354,1,,1,544,09/06/2018 13:20:11,,,,
355,0,,0,675,09/06/2018 13:20:11,,,,
356,0,,1,799,09/06/2018 13:20:11,,,,
357,1,,0,682,09/06/2018 13:20:11,,,,
358,0,,0,193,09/06/2018 13:20:11,,,,
359,0,,1,458,09/06/2018 13:20:11,,,,
360,0,,1,220,09/06/2018 13:20:11,,,,
361,0,,0,146,09/06/2018 13:20:11,,,,
362,1,,0,367,09/06/2018 13:20:11,,,,
363,0,,1,632,09/06/2018 13:20:11,,,,
364,0,,0,757,09/06/2018 13:20:11,,,,
365,0,,1,482,09/06/2018 13:20:11,,,,
366,0,,1,436,09/06/2018 13:20:11,,,,
367,0,,0,636,09/06/2018 13:20:11,,,,
368,1,,1,402,09/06/2018 13:20:11,,,,
369,0,,0,132,09/06/2018 13:20:11,,,,
370,0,,1,197,09/06/2018 13:20:11,,,,
371,1,,0,3,09/06/2018 13:20:11,,,,
372,1,,0,502,09/06/2018 13:20:11,,,,
373,1,,1,247,09/06/2018 13:20:11,,,,
374,0,,1,253,09/06/2018 13:20:11,,,,
375,0,,1,97,09/06/2018 13:20:11,,,,
376,1,,0,759,09/06/2018 13:20:11,,,,
377,0,,1,637,09/06/2018 13:20:11,,,,
378,1,,1,200,09/06/2018 13:20:11,,,,
379,0,,0,108,09/06/2018 13:20:11,,,,
380,0,,0,394,09/06/2018 13:20:11,,,,
381,0,,1,119,09/06/2018 13:20:11,,,,
382,1,,0,70,09/06/2018 13:20:11,,,,
383,0,,0,104,09/06/2018 13:20:11,,,,
384,0,,0,88,09/06/2018 13:20:11,,,,
385,1,,0,473,09/06/2018 13:20:11,,,,
386,1,,1,438,09/06/2018 13:20:11,,,,
387,1,,0,647,09/06/2018 13:20:11,,,,
388,1,,0,283,09/06/2018 13:20:11,,,,
389,1,,0,739,09/06/2018 13:20:11,,,,
390,0,,0,681,09/06/2018 13:20:11,,,,
391,0,,1,718,09/06/2018 13:20:11,,,,
392,1,,1,729,09/06/2018 13:20:11,,,,
393,0,,1,411,09/06/2018 13:20:11,,,,
394,1,,0,524,09/06/2018 13:20:11,,,,
395,0,,0,485,09/06/2018 13:20:11,,,,
396,0,,1,64,09/06/2018 13:20:11,,,,
397,0,,0,660,09/06/2018 13:20:11,,,,
398,1,,0,403,09/06/2018 13:20:11,,,,
399,1,,1,91,09/06/2018 13:20:11,,,,
400,0,,0,321,09/06/2018 13:20:11,,,,
401,1,,1,798,09/06/2018 13:20:11,,,,
402,1,,1,128,09/06/2018 13:20:11,,,,
403,1,,1,74,09/06/2018 13:20:11,,,,
404,1,,1,746,09/06/2018 13:20:11,,,,
405,1,,1,277,09/06/2018 13:20:11,,,,
406,1,,0,276,09/06/2018 13:20:11,,,,
407,0,,0,130,09/06/2018 13:20:11,,,,
408,1,,1,193,09/06/2018 13:20:11,,,,
409,0,,0,737,09/06/2018 13:20:11,,,,
410,0,,0,611,09/06/2018 13:20:11,,,,
411,1,,0,255,09/06/2018 13:20:11,,,,
412,0,,1,97,09/06/2018 13:20:11,,,,
413,0,,0,573,09/06/2018 13:20:11,,,,
414,0,,0,315,09/06/2018 13:20:11,,,,
415,0,,0,27,09/06/2018 13:20:11,,,,
416,1,,1,1,09/06/2018 13:20:11,,,,
417,1,,0,587,09/06/2018 13:20:11,,,,
418,0,,0,627,09/06/2018 13:20:11,,,,
419,0,,0,95,09/06/2018 13:20:11,,,,
420,0,,0,731,09/06/2018 13:20:11,,,,
421,1,,0,671,09/06/2018 13:20:11,,,,
422,1,,1,717,09/06/2018 13:20:11,,,,
423,1,,1,280,09/06/2018 13:20:11,,,,
424,1,,0,664,09/06/2018 13:20:11,,,,
425,0,,1,651,09/06/2018 13:20:11,,,,
426,1,,0,514,09/06/2018 13:20:11,,,,
427,0,,0,379,09/06/2018 13:20:11,,,,
428,1,,1,393,09/06/2018 13:20:11,,,,
429,0,,0,162,09/06/2018 13:20:11,,,,
430,0,,0,453,09/06/2018 13:20:11,,,,
431,1,,1,151,09/06/2018 13:20:11,,,,
432,0,,1,757,09/06/2018 13:20:11,,,,
433,0,,1,538,09/06/2018 13:20:11,,,,
434,0,,0,512,09/06/2018 13:20:11,,,,
435,0,,0,122,09/06/2018 13:20:11,,,,
436,0,,1,154,09/06/2018 13:20:11,,,,
437,0,,1,506,09/06/2018 13:20:11,,,,
438,0,,1,122,09/06/2018 13:20:11,,,,
439,0,,1,70,09/06/2018 13:20:11,,,,
440,1,,0,683,09/06/2018 13:20:11,,,,
441,0,,1,251,09/06/2018 13:20:11,,,,
442,0,,1,126,09/06/2018 13:20:11,,,,
443,1,,0,87,09/06/2018 13:20:11,,,,
444,1,,0,605,09/06/2018 13:20:11,,,,
445,0,,1,319,09/06/2018 13:20:11,,,,
446,1,,1,296,09/06/2018 13:20:11,,,,
447,1,,0,618,09/06/2018 13:20:11,,,,
448,0,,1,515,09/06/2018 13:20:11,,,,
449,0,,0,380,09/06/2018 13:20:11,,,,
450,1,,1,239,09/06/2018 13:20:11,,,,
451,0,,1,446,09/06/2018 13:20:11,,,,
452,0,,0,422,09/06/2018 13:20:11,,,,
453,0,,1,70,09/06/2018 13:20:11,,,,
454,1,,1,466,09/06/2018 13:20:11,,,,
455,0,,1,197,09/06/2018 13:20:11,,,,
456,0,,0,42,09/06/2018 13:20:11,,,,
457,0,,0,148,09/06/2018 13:20:11,,,,
458,1,,0,711,09/06/2018 13:20:11,,,,
459,1,,1,688,09/06/2018 13:20:11,,,,
460,0,,1,36,09/06/2018 13:20:11,,,,
461,0,,1,183,09/06/2018 13:20:11,,,,
462,0,,0,286,09/06/2018 13:20:11,,,,
463,1,,0,733,09/06/2018 13:20:11,,,,
464,0,,1,133,09/06/2018 13:20:11,,,,
465,1,,0,265,09/06/2018 13:20:11,,,,
466,0,,0,212,09/06/2018 13:20:11,,,,
467,0,,1,348,09/06/2018 13:20:11,,,,
468,1,,0,305,09/06/2018 13:20:11,,,,
469,0,,0,241,09/06/2018 13:20:11,,,,
470,0,,1,332,09/06/2018 13:20:11,,,,
471,1,,1,254,09/06/2018 13:20:11,,,,
472,0,,0,26,09/06/2018 13:20:11,,,,
473,1,,0,746,09/06/2018 13:20:11,,,,
474,0,,0,274,09/06/2018 13:20:11,,,,
475,1,,1,351,09/06/2018 13:20:11,,,,
476,1,,0,782,09/06/2018 13:20:11,,,,
477,0,,1,129,09/06/2018 13:20:11,,,,
478,0,,0,181,09/06/2018 13:20:11,,,,
479,1,,1,513,09/06/2018 13:20:11,,,,
480,0,,1,773,09/06/2018 13:20:11,,,,
481,1,,1,204,09/06/2018 13:20:11,,,,
482,0,,1,271,09/06/2018 13:20:11,,,,
483,1,,0,344,09/06/2018 13:20:11,,,,
484,0,,1,492,09/06/2018 13:20:11,,,,
485,1,,1,294,09/06/2018 13:20:11,,,,
486,0,,0,33,09/06/2018 13:20:11,,,,
487,0,,0,351,09/06/2018 13:20:11,,,,
488,1,,0,469,09/06/2018 13:20:11,,,,
489,1,,0,160,09/06/2018 13:20:11,,,,
490,0,,1,716,09/06/2018 13:20:11,,,,
491,1,,1,296,09/06/2018 13:20:11,,,,
492,0,,1,270,09/06/2018 13:20:11,,,,
493,0,,0,77,09/06/2018 13:20:11,,,,
494,0,,0,642,09/06/2018 13:20:11,,,,
495,1,,0,610,09/06/2018 13:20:11,,,,
496,1,,1,256,09/06/2018 13:20:11,,,,
497,0,,0,84,09/06/2018 13:20:11,,,,
498,0,,0,425,09/06/2018 13:20:11,,,,
499,0,,1,545,09/06/2018 13:20:11,,,,
500,1,,1,145,09/06/2018 13:20:11,,,,
501,0,,1,191,09/06/2018 13:20:11,,,,
502,0,,0,547,09/06/2018 13:20:11,,,,
503,0,,1,232,09/06/2018 13:20:11,,,,
504,0,,0,666,09/06/2018 13:20:11,,,,
505,0,,0,750,09/06/2018 13:20:11,,,,
506,0,,1,526,09/06/2018 13:20:11,,,,
507,0,,0,408,09/06/2018 13:20:11,,,,
508,0,,0,301,09/06/2018 13:20:11,,,,
509,0,,1,362,09/06/2018 13:20:11,,,,
510,0,,0,340,09/06/2018 13:20:11,,,,
511,0,,0,269,09/06/2018 13:20:11,,,,
512,1,,0,340,09/06/2018 13:20:11,,,,
513,0,,0,263,09/06/2018 13:20:11,,,,
514,1,,0,420,09/06/2018 13:20:11,,,,
515,1,,0,741,09/06/2018 13:20:11,,,,
516,0,,1,429,09/06/2018 13:20:11,,,,
517,1,,0,333,09/06/2018 13:20:11,,,,
518,1,,0,248,09/06/2018 13:20:11,,,,
519,1,,0,89,09/06/2018 13:20:11,,,,
520,0,,1,590,09/06/2018 13:20:11,,,,
521,0,,0,678,09/06/2018 13:20:11,,,,
522,1,,1,153,09/06/2018 13:20:11,,,,
523,1,,1,518,09/06/2018 13:20:11,,,,
524,0,,0,342,09/06/2018 13:20:11,,,,
525,0,,1,144,09/06/2018 13:20:11,,,,
526,1,,1,79,09/06/2018 13:20:11,,,,
527,0,,1,86,09/06/2018 13:20:11,,,,
528,0,,0,78,09/06/2018 13:20:11,,,,
529,1,,1,12,09/06/2018 13:20:11,,,,
530,0,,0,38,09/06/2018 13:20:11,,,,
531,0,,1,425,09/06/2018 13:20:11,,,,
532,0,,1,71,09/06/2018 13:20:11,,,,
533,0,,1,324,09/06/2018 13:20:11,,,,
534,0,,1,732,09/06/2018 13:20:11,,,,
535,1,,1,689,09/06/2018 13:20:11,,,,
